mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
RUNX2,rs6415148-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.88444054,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RUNX2 mRNA",affects^cotreatment|increases^expression
RUNX2,rs6415148-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.88444054,lead nitrate,lead nitrate inhibits the reaction [[Dexamethasone co-treated with beta-glycerophosphoric acid co-treated with ascorbate-2-phosphate] results in increased expression of RUNX2 mRNA],affects^cotreatment|decreases^reaction|increases^expression
RUNX2,rs6415148-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.88444054,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of RUNX2 mRNA",affects^cotreatment|increases^expression
SBF2,rs181330831-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,0.6486902,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SBF2 mRNA",affects^cotreatment|increases^expression
SBF2,rs181330831-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,0.6486902,mercuric bromide,mercuric bromide results in increased expression of SBF2 mRNA,increases^expression
SBF2,rs181330831-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,0.6486902,methylmercuric chloride,methylmercuric chloride results in increased expression of SBF2 mRNA,increases^expression
SCAPER,rs2469249-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),5e-23,0.85,methylmercuric chloride,methylmercuric chloride results in decreased expression of SCAPER mRNA,decreases^expression
SCARA3,rs569214-?,Alzheimer's disease,4e-8,1.14,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SCARA3 mRNA",affects^cotreatment|decreases^expression
SCARA3,rs569214-?,Alzheimer's disease,4e-8,1.14,methylmercuric chloride,methylmercuric chloride results in decreased expression of SCARA3 mRNA,decreases^expression
SCFD2,rs184984767-?,Alzheimer's disease in non-APOE e4 carriers,2e-6,5.934,methylmercuric chloride,methylmercuric chloride results in decreased expression of SCFD2 mRNA,decreases^expression
SDK1,rs36076521-A,Alzheimer's disease,4e-8,2.4,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SDK1 mRNA",affects^cotreatment|increases^expression
SDK2,rs115839552-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,1.7407221,methylmercuric chloride,methylmercuric chloride results in decreased expression of SDK2 mRNA,decreases^expression
SDR9C7,rs840163-?,Alzheimer's disease (survival time),2e-6,1.4,Lead,Lead affects the methylation of SDR9C7 gene,affects^methylation
SEMA3C,rs2525776-?,Posterior cortical atrophy and Alzheimer's disease,1e-8,3.3,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SEMA3C mRNA",affects^cotreatment|increases^expression
SEMA3C,rs2525776-?,Posterior cortical atrophy and Alzheimer's disease,1e-8,3.3,mercuric bromide,mercuric bromide results in increased expression of SEMA3C mRNA,increases^expression
SEMA5A,rs34191781-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",5e-6,0.8071062,methylmercuric chloride,methylmercuric chloride results in decreased expression of SEMA5A mRNA,decreases^expression
SENP7,rs6806784-?,Alzheimer's disease (late onset),4e-6,1.53,methylmercuric chloride,methylmercuric chloride results in decreased expression of SENP7 mRNA,decreases^expression
SERINC5,rs71636213-G,Alzheimer's disease in APOE e4- carriers,9e-6,1.18,Lead,Lead affects the expression of SERINC5 mRNA,affects^expression
SERINC5,rs71636213-G,Alzheimer's disease in APOE e4- carriers,9e-6,1.18,methylmercuric chloride,methylmercuric chloride results in decreased expression of SERINC5 mRNA,decreases^expression
SERPINE1,rs10953322-?,Alzheimer's disease,5e-6,1.3187115,Mercuric Chloride,Mercuric Chloride results in increased expression of SERPINE1 mRNA,increases^expression
SERPINE1,rs10953322-?,Alzheimer's disease,5e-6,1.3187115,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SERPINE1 mRNA",affects^cotreatment|increases^expression
SERPINE1,rs10953322-?,Alzheimer's disease,5e-6,1.3187115,lead acetate,lead acetate results in increased expression of SERPINE1 mRNA,increases^expression
SERPINE1,rs10953322-?,Alzheimer's disease,5e-6,1.3187115,mercuric bromide,mercuric bromide results in increased expression of SERPINE1 mRNA,increases^expression
SERPINE1,rs10953322-?,Alzheimer's disease,5e-6,1.3187115,methylmercuric chloride,methylmercuric chloride results in increased expression of SERPINE1 mRNA,increases^expression
SETBP1,rs7235333-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-7,0.8558159,methylmercuric chloride,methylmercuric chloride results in decreased expression of SETBP1 mRNA,decreases^expression
SETD7,rs535347112-T,Alzheimer's disease,4e-8,2.02,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SETD7 mRNA",affects^cotreatment|increases^expression
SETD7,rs535347112-T,Alzheimer's disease,4e-8,2.02,methylmercuric chloride,methylmercuric chloride results in increased expression of SETD7 mRNA,increases^expression
SETX,rs117247154-?,Alzheimer's disease in non-APOE e4 carriers,2e-6,2.458,Mercuric Chloride,Mercuric Chloride results in decreased expression of SETX mRNA,decreases^expression
SEZ6L2,rs150987621-T,Alzheimer's disease,5e-8,1.8,Lead,Lead affects the expression of SEZ6L2 mRNA,affects^expression
SEZ6L2,rs150987621-T,Alzheimer's disease,5e-8,1.8,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SEZ6L2 mRNA",affects^cotreatment|decreases^expression
SIPA1L2,rs115684722-?,Alzheimer's disease,6e-7,12.6,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SIPA1L2 mRNA",affects^cotreatment|increases^expression
SIPA1L2,rs115684722-?,Alzheimer's disease,6e-7,12.6,mercuric bromide,mercuric bromide results in increased expression of SIPA1L2 mRNA,increases^expression
SIPA1L2,rs115684722-?,Alzheimer's disease,6e-7,12.6,methylmercuric chloride,methylmercuric chloride results in increased expression of SIPA1L2 mRNA,increases^expression
SLC24A3,rs6136629-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.2248275,Lead,Lead affects the expression of SLC24A3 mRNA,affects^expression
SLC25A12,rs149366681-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",7e-6,0.6561276,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SLC25A12 mRNA",affects^cotreatment|increases^expression
SLC2A13,rs75036080-?,Alzheimer's disease in hypertension,3e-6,2.0576131,Lead,Lead affects the expression of SLC2A13 mRNA,affects^expression
SLC2A13,rs75036080-?,Alzheimer's disease in hypertension,3e-6,2.0576131,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SLC2A13 mRNA",affects^cotreatment|increases^expression
SLC2A4RG,rs6742-T,Alzheimer's disease,3e-9,0.95,Lead,Lead results in increased expression of SLC2A4RG mRNA,increases^expression
SLC2A4RG,rs6742-T,Alzheimer's disease,3e-9,0.95,lead acetate,lead acetate results in increased expression of SLC2A4RG mRNA,increases^expression
SLC35F3,rs510560-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,0.8206981,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SLC35F3 mRNA",affects^cotreatment|decreases^expression
SLC39A8,rs149970512-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.5104384,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SLC39A8 mRNA",affects^cotreatment|increases^expression
SLC39A8,rs149970512-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.5104384,lead acetate,lead acetate results in decreased expression of SLC39A8 mRNA,decreases^expression
SLC39A8,rs149970512-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.5104384,mercuric bromide,mercuric bromide results in increased expression of SLC39A8 mRNA,increases^expression
SLC39A8,rs149970512-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.5104384,methylmercuric chloride,methylmercuric chloride results in increased expression of SLC39A8 mRNA,increases^expression
SLC4A1AP,rs17006206-G,Alzheimer's disease,2e-6,2.05,Lead,Lead results in increased expression of SLC4A1AP mRNA,increases^expression
SLC6A1,rs9860800-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.8084795,Lead,Lead affects the expression of SLC6A1 mRNA,affects^expression
SLC6A11,rs9860800-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.8084795,Lead,Lead affects the expression of SLC6A11 mRNA,affects^expression
SLC6A11,rs9860800-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.8084795,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SLC6A11 mRNA",affects^cotreatment|decreases^expression
SLC7A2,rs183994654-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.6950293,Mercury,Mercury results in decreased expression of SLC7A2 mRNA,decreases^expression
SLC7A2,rs183994654-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.6950293,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SLC7A2 mRNA",affects^cotreatment|increases^expression
SLC7A2,rs183994654-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.6950293,mercuric bromide,mercuric bromide results in increased expression of SLC7A2 mRNA,increases^expression
SLC7A2,rs183994654-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",2e-6,1.6950293,methylmercuric chloride,methylmercuric chloride results in decreased expression of SLC7A2 mRNA,decreases^expression
SLC9A7,rs2142791-C,Alzheimer's disease,4e-8,1.03,Lead,Lead affects the expression of SLC9A7 mRNA,affects^expression
SLCO4A1,rs74362380-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",7e-8,1.5562825,Lead,Lead results in increased expression of SLCO4A1 mRNA,increases^expression
SLCO4A1,rs74362380-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",7e-8,1.5562825,lead acetate,lead acetate results in decreased expression of SLCO4A1 mRNA,decreases^expression
SMARCA2,rs567594870-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.653247,Lead,Lead affects the expression of SMARCA2 mRNA,affects^expression
SMARCA2,rs567594870-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.653247,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SMARCA2 mRNA",affects^cotreatment|increases^expression
SMARCA2,rs567594870-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.653247,lead acetate,lead acetate results in increased expression of SMARCA2 protein,increases^expression
SMARCA2,rs567594870-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.653247,mercuric bromide,mercuric bromide results in increased expression of SMARCA2 mRNA,increases^expression
SMARCA2,rs567594870-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,0.653247,methylmercuric chloride,methylmercuric chloride results in increased expression of SMARCA2 mRNA,increases^expression
SNX1,rs3848143-G,Alzheimer's disease,8e-11,1.05,methylmercuric chloride,methylmercuric chloride results in decreased expression of SNX1 mRNA,decreases^expression
SNX18,rs539770320-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",8e-6,1.7590959,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SNX18 mRNA",affects^cotreatment|increases^expression
SOBP,rs4645455-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.1575434,Lead,Lead results in decreased expression of SOBP mRNA,decreases^expression
SOBP,rs4645455-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.1575434,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SOBP mRNA",affects^cotreatment|decreases^expression
SOBP,rs4645455-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.1575434,mercuric bromide,mercuric bromide results in decreased expression of SOBP mRNA,decreases^expression
SOBP,rs4645455-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",6e-6,1.1575434,methylmercuric chloride,methylmercuric chloride results in decreased expression of SOBP mRNA,decreases^expression
SORBS2,rs76819555-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,3.815,Lead,Lead affects the expression of SORBS2 mRNA,affects^expression
SORBS2,rs76819555-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,3.815,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SORBS2 mRNA",affects^cotreatment|increases^expression
SORBS2,rs76819555-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,3.815,methylmercuric chloride,methylmercuric chloride results in increased expression of SORBS2 mRNA,increases^expression
SORCS1,rs1890078-?,Alzheimer's disease in APOE e4+ carriers,7e-7,0.43,Lead,Lead affects the expression of SORCS1 mRNA,affects^expression
SORCS1,rs1890078-?,Alzheimer's disease in APOE e4+ carriers,7e-7,0.43,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SORCS1 mRNA",affects^cotreatment|decreases^expression
SORCS1,rs1890078-?,Alzheimer's disease in APOE e4+ carriers,7e-7,0.43,mercuric bromide,mercuric bromide results in decreased expression of SORCS1 mRNA,decreases^expression
SORL1,rs11218343-C,Alzheimer's disease,1e-21,0.84,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SORL1 mRNA",affects^cotreatment|decreases^expression
SORL1,rs11218343-C,Alzheimer's disease,1e-21,0.84,methylmercuric chloride,methylmercuric chloride results in decreased expression of SORL1 mRNA,decreases^expression
SPEF2,rs114604666-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-6,0.7025772,methylmercuric chloride,methylmercuric chloride results in decreased expression of SPEF2 mRNA,decreases^expression
SPOCK3,rs143469568-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,0.6392881,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SPOCK3 mRNA",affects^cotreatment|increases^expression
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,Lead,Lead affects the expression of SPP1 mRNA,affects^expression
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,Mercuric Chloride,Mercuric Chloride results in increased expression of SPP1 mRNA,increases^expression
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,Mercury,Mercury results in increased expression of SPP1 mRNA,increases^expression
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SPP1 mRNA",affects^cotreatment|increases^expression
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,lead acetate,lead acetate results in increased expression of and results in increased secretion of SPP1 protein,increases^expression|increases^secretion
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,lead chloride,lead chloride results in increased expression of SPP1 mRNA,increases^expression
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,mercuric bromide,mercuric bromide results in increased expression of SPP1 mRNA,increases^expression
SPP1,rs2853750-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,0.62995934,methylmercuric chloride,methylmercuric chloride results in increased expression of SPP1 mRNA,increases^expression
SPPL2A,rs8025980-G,Alzheimer's disease,1e-8,0.96,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SPPL2A mRNA",affects^cotreatment|increases^expression
SPTBN1,rs62134681-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,1.2603633,Lead,Lead affects the expression of SPTBN1 mRNA,affects^expression
SPTBN1,rs62134681-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,1.2603633,Mercury,Mercury results in increased expression of SPTBN1 mRNA,increases^expression
SPTBN1,rs62134681-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,1.2603633,lead acetate,[lead acetate co-treated with zinc protoporphyrin] results in decreased expression of SPTBN1 mRNA,affects^cotreatment|decreases^expression
SQSTM1,rs72807343-T,Alzheimer's disease (late onset),7e-7,1.35,Ethylmercury Compounds,Ethylmercury Compounds results in increased expression of SQSTM1 protein,increases^expression
SQSTM1,rs72807343-T,Alzheimer's disease (late onset),7e-7,1.35,Lead,Lead affects the expression of SQSTM1 mRNA,affects^expression
SQSTM1,rs72807343-T,Alzheimer's disease (late onset),7e-7,1.35,Methylmercury Compounds,[SQSTM1 protein affects the susceptibility to Methylmercury Compounds] which affects the expression of DDIT3 mRNA,affects^expression|affects^response to substance
SQSTM1,rs72807343-T,Alzheimer's disease (late onset),7e-7,1.35,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SQSTM1 mRNA",affects^cotreatment|increases^expression
SQSTM1,rs72807343-T,Alzheimer's disease (late onset),7e-7,1.35,lead acetate,"(1E,4E)-1,5-bis(2-methoxyphenyl)penta-1,4-dien-3-one inhibits the reaction [lead acetate results in increased expression of SQSTM1 protein]",decreases^reaction|increases^expression
SQSTM1,rs72807343-T,Alzheimer's disease (late onset),7e-7,1.35,mercuric bromide,mercuric bromide results in increased expression of SQSTM1 mRNA,increases^expression
SQSTM1,rs72807343-T,Alzheimer's disease (late onset),7e-7,1.35,methylmercuric chloride,methylmercuric chloride results in increased expression of SQSTM1 mRNA,increases^expression
SRCIN1,rs12450778-?,Alzheimer's disease,2e-6,2.4201357,Lead,Lead affects the expression of SRCIN1 mRNA,affects^expression
SRCIN1,rs12450778-?,Alzheimer's disease,2e-6,2.4201357,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SRCIN1 mRNA",affects^cotreatment|decreases^expression
SRCIN1,rs12450778-?,Alzheimer's disease,2e-6,2.4201357,mercuric bromide,mercuric bromide results in decreased expression of SRCIN1 mRNA,decreases^expression
SRCIN1,rs12450778-?,Alzheimer's disease,2e-6,2.4201357,methylmercuric chloride,methylmercuric chloride results in decreased expression of SRCIN1 mRNA,decreases^expression
SS18,rs16941876-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,1.555038,Lead,Lead affects the expression of SS18 mRNA,affects^expression
SS18,rs16941876-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",5e-6,1.555038,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of SS18 mRNA",affects^cotreatment|increases^expression
STC1,rs17089546-A,Alzheimer's disease with multiple cognitive domain impairments,3e-6,1.86,lead acetate,lead acetate results in decreased expression of STC1 mRNA,decreases^expression
STC1,rs17089546-A,Alzheimer's disease with multiple cognitive domain impairments,3e-6,1.86,methylmercuric chloride,methylmercuric chloride results in decreased expression of STC1 mRNA,decreases^expression
STMN4,rs78960159-?,Rapidly progressive Alzheimer's disease (clinical) (case-control set 2),1e-5,2.274,methylmercuric chloride,methylmercuric chloride results in decreased expression of STMN4 mRNA,decreases^expression
SUPT20H,rs148128180-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",4e-6,0.5689857,methylmercuric chloride,methylmercuric chloride results in decreased expression of SUPT20H mRNA,decreases^expression
SUSD5,rs35310979-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2),4e-6,3.653,methylmercuric chloride,methylmercuric chloride results in decreased expression of SUSD5 mRNA,decreases^expression
SYN2,rs1355782609-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,0.62725633,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of SYN2 mRNA",affects^cotreatment|decreases^expression
SYNPR,rs116668122-T,Alzheimer's disease,2e-9,1.87,Lead,Lead affects the expression of SYNPR mRNA,affects^expression
SYNPR,rs116668122-T,Alzheimer's disease,2e-9,1.87,mercuric bromide,mercuric bromide results in increased expression of SYNPR mRNA,increases^expression
SYNPR,rs116668122-T,Alzheimer's disease,2e-9,1.87,methylmercuric chloride,methylmercuric chloride results in decreased expression of SYNPR mRNA,decreases^expression
SYNPR-AS1,rs116668122-T,Alzheimer's disease,2e-9,1.87,methylmercuric chloride,methylmercuric chloride results in decreased expression of SYNPR-AS1 mRNA,decreases^expression
SYPL1,rs6978679-A,Alzheimer's disease with no specific cognitive domain impairment,2e-6,1.36,Lead,Lead affects the expression of SYPL1 mRNA,affects^expression
TASOR2,rs9971188-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-6,0.8297756,Lead,Lead results in decreased expression of TASOR2 mRNA,decreases^expression
TASOR2,rs9971188-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-6,0.8297756,methylmercuric chloride,methylmercuric chloride results in decreased expression of TASOR2 mRNA,decreases^expression
TENM2,rs6555748-G,Alzheimer's disease,4e-8,2.4,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of TENM2 mRNA",affects^cotreatment|increases^expression
TENM2,rs6555748-G,Alzheimer's disease,4e-8,2.4,methylmercuric chloride,methylmercuric chloride results in decreased expression of TENM2 mRNA,decreases^expression
TENT5A,rs72907046-?,Posterior cortical atrophy and Alzheimer's disease,1e-9,3.2,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of TENT5A mRNA",affects^cotreatment|increases^expression
TENT5A,rs72907046-?,Posterior cortical atrophy and Alzheimer's disease,1e-9,3.2,methylmercuric chloride,methylmercuric chloride results in decreased expression of TENT5A mRNA,decreases^expression
TFAM,rs556906573-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",5e-6,0.6015173,methylmercuric chloride,methylmercuric chloride results in decreased expression of TFAM mRNA,decreases^expression
TGFBR3,rs2480707-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",8e-6,0.686877,methylmercuric chloride,methylmercuric chloride results in decreased expression of TGFBR3 mRNA,decreases^expression
